c:/Users/iballing/workspaces/robotics/venv/Scripts/python.exe UR5/Supervisor.py run-subtask ignored --autonomy-mode --autonomy-simulate --autonomy-graph-file UR5/master_task_graph.json
autonomy simulation mode: no subtasks were executed
sim step 1: 'open_microwave_door' (id=open_door, points=1.0, arm=left)
sim step 2: 'acquire_bowl' (id=acquire_bowl, points=0.0, arm=right)
sim step 3: 'place_bowl_in_microwave' (id=put_bowl, points=1.0, arm=right)
sim step 4: 'right_arm_safe_retract' (id=right_retract, points=0.0, arm=right)
sim step 5: 'close_microwave_door' (id=close_door, points=1.0, arm=left)
sim step 6: 'press_microwave_stop' (id=press_stop_bowl, points=1.0, arm=right)
sim step 7: 'open_microwave_door' (id=door_open_for_unload, points=1.0, arm=left)
sim step 8: 'take_bowl_out_to_tray' (id=bowl_to_tray, points=1.0, arm=right)
sim step 9: 'acquire_plate' (id=acquire_plate, points=0.0, arm=right)
sim step 10: 'place_plate_in_microwave' (id=put_plate, points=1.0, arm=right)
sim step 11: 'close_microwave_door' (id=close_door_repeat, points=1.0, arm=left)
sim step 12: 'press_microwave_stop' (id=press_stop_plate, points=1.0, arm=right)
sim step 13: 'open_microwave_door' (id=door_open_for_plate_unload, points=1.0, arm=left)
sim step 14: 'take_plate_out_to_tray' (id=plate_to_tray, points=1.0, arm=right)
sim step 15: 'close_microwave_door' (id=close_microwave_door#18, points=1.0, arm=left)
sim step 16: 'acquire_cup' (id=acquire_cup, points=0.0, arm=right)
sim step 17: 'acquire_bottle' (id=acquire_bottle, points=0.0, arm=right)
sim step 18: 'pour_drink_into_cup' (id=pour_drink, points=1.0, arm=right)
sim step 19: 'place_cup_on_tray' (id=cup_on_tray, points=1.0, arm=right)
simulation completed without deadlock: executed=19 pending=0
simulation scoring summary: total_points=14.0 score_counts={'open_microwave_door': 3, 'place_bowl_in_microwave': 1, 'close_microwave_door': 3, 'press_microwave_stop_with_food_inside': 2, 'take_bowl_out_to_tray': 1, 'place_plate_in_microwave': 1, 'take_plate_out_to_tray': 1, 'pour_drink_from_bottle_into_cup': 1, 'place_cup_on_tray': 1}
